time,bth_bb,sd_bth_bb,bad_bb,sd_bad_bb
0,3171587.035,422547.2927,2279262.21,514427.0397
4,24574685.79,114257.862,39411917.69,4282256.256
8,15945681.86,487649.5763,99412706.53,12079500.1
12,19948736.6,1312496.889,99535418.23,20253287
16,24579081.9,5364109.808,111483421.2,36004135.54
24,21022507.61,1584627.365,142464724,15981378.06
